"Sub","Run","Trial","OldT","Delay","LuckyDeck","ObjPP","OldObjLuckyDeck","ObjDeckMatch","Outcome","Resp","RT","DeckC","LuckyDeckC","OldObjC","RevT","OldDeckPP","OldDeck","EncRevT","Enc_Pay1","OptObj","PP","StayResp","DeckUnC","ObjPP_C","ChooseRed","LuckRed","OldRed","OldValRed","pre_post_rev","pre_post_rev_enc","Q_chosen_norm","Q_unchosen_norm","Q_diff_norm","PE_norm","Q_chosen","Q_unchosen","Q_diff","Q_red","Q_blue","PE","Inc_lik","Ep_lik","Inc_lik_norm","Ep_lik_norm","Lik_rat","Ep_lik_enc","Ep_lik_norm_enc","encT","Lik_rat_norm"
21,2,96,1,10,2,1,1,1,1,2,817.015645996435,1,0,1,5,1,1,19,0.4,1,1,1,2,0.5,0,0.5,-0.5,-0.5,-0.5,0.5,1.42680131413552,0.193206539149653,0.919479893253815,0.292896689484411,0.884025167050623,0.323527686504991,0.560497480545632,0.323527686504991,0.884025167050623,0.115974832949377,-0.140116362414527,-0.600928320973036,0.685016776671853,1.18364306945459,0.460811958558509,NA,NA,0,0.460125424763054
21,2,97,0,NA,2,NA,NA,NA,0.2,1,622.224074002588,1,0,NA,6,NA,NA,NA,NA,NA,1,1,2,0,0,0.5,0,0,-0.5,NA,1.72249341295087,0.193206539149653,1.13089367853292,-1.84588332457058,0.952259316012997,0.323527686504991,0.628731629508005,0.323527686504991,0.952259316012997,-0.752259316012997,-0.112685759027024,NA,0.742854162433327,NA,NA,-0.767818436827955,-0.771193610322618,1,NA
21,2,98,1,11,2,0.8,1,1,0.8,2,641.256558999885,2,1,0,7,0.2,1,20,1,0,0.2,0,1,0,1,0.5,-0.5,-0.3,-0.5,0.5,-1.00210970657128,1.16443208180008,-1.32311584902812,1.18093456202101,0.323527686504991,0.486831691937366,-0.163304005432375,0.323527686504991,0.486831691937366,0.476472313495009,-1.01599079175761,-0.805465277982393,-1.16176313308417,-1.21216296066101,-0.210525513775214,NA,NA,0,-1.11381494515284
21,2,99,0,NA,2,NA,NA,NA,0.2,1,1134.0461709915,2,1,NA,8,NA,NA,NA,NA,NA,0.8,1,1,0,1,0.5,0,0,-0.5,NA,0.263573687745595,1.16443208180008,-0.418178184378096,-1.01656223539411,0.615597814902127,0.486831691937366,0.128766122964761,0.615597814902127,0.486831691937366,-0.415597814902127,-0.498641551625753,NA,-0.0709330426114519,NA,NA,-0.639824351635631,0.728041567547317,1,NA
21,2,100,0,NA,2,NA,NA,NA,0.2,2,733.762507006759,1,0,NA,9,NA,NA,NA,NA,NA,0.2,0,2,0,0,0.5,0,0,-0.5,NA,-0.294433200810492,0.382333482658078,-0.409695932150752,-0.699363919002717,0.486831691937366,0.355327908033169,0.131503783904197,0.355327908033169,0.486831691937366,-0.286831691937366,-0.507777689246722,NA,-0.0901965749694254,NA,NA,NA,NA,1,NA
21,2,101,1,10,2,0.6,1,1,0,1,515.875795012107,2,1,0,10,0.2,1,24,0.2,0,0.2,0,1,0,1,0.5,-0.5,-0.1,0.5,0.5,-0.864303719547901,0.144868767272403,-0.693430938685669,-0.868095289680978,0.355327908033169,0.315400066900085,0.0399278411330841,0.355327908033169,0.315400066900085,-0.355327908033169,-0.610044844441875,-0.789940055278605,-0.305826717048082,-1.03031111972,0.17989521083673,NA,NA,0,-0.198479566088693
21,2,102,0,NA,2,NA,NA,NA,0.4,2,799.89131099137,1,0,NA,11,NA,NA,NA,NA,NA,0,0,2,0,0,0.5,0,0,0.5,NA,-1.03733067636271,-0.908899245655333,-0.268165768136352,0.215608772600237,0.315400066900085,0.138217188412351,0.177182878487734,0.138217188412351,0.315400066900085,0.0845999330999149,-0.447217286410544,NA,0.0374949428300703,NA,NA,-0.777388818000046,-0.883294510120166,1,NA
21,2,103,0,NA,2,NA,NA,NA,0.2,1,873.787496995647,1,0,NA,12,NA,NA,NA,NA,NA,0.4,1,2,0,0,0.5,0,0,0.5,NA,-0.793160432770238,-0.908899245655333,-0.0935890525013525,-0.415863049102131,0.371744990691476,0.138217188412351,0.233527802279125,0.138217188412351,0.371744990691476,-0.171744990691476,-0.382940678918148,NA,0.173022072527487,NA,NA,-0.767818436827955,-0.771193610322618,1,NA
21,2,104,1,10,2,0.8,1,1,0.8,1,577.355671994155,2,1,0,13,0.2,1,3,0.6,0,0.2,0,1,0,1,0.5,-0.5,-0.3,0.5,-0.5,-1.80515115937445,-0.14315127657235,-1.21606929460364,1.63742246933125,0.138217188412351,0.266971741306114,-0.128754552893763,0.138217188412351,0.266971741306114,0.661782811587649,-0.918125067974247,-0.805465277982393,-0.955413402481353,-1.21216296066101,-0.112659789991854,NA,NA,0,-0.88437026220045
21,2,105,0,NA,2,NA,NA,NA,0.6,2,853.218453994486,2,1,NA,14,NA,NA,NA,NA,NA,0.8,1,1,0,1,0.5,0,0,0.5,NA,-0.0241214112493651,-0.14315127657235,0.0573304419951203,0.132324788583854,0.549209060115598,0.266971741306114,0.282237318809485,0.549209060115598,0.266971741306114,0.0507909398844018,-0.311053180548001,NA,0.324596754131309,NA,NA,-0.789940055278605,-1.03031111972,1,NA
21,2,106,0,NA,2,NA,NA,NA,0.8,2,506.086421999498,2,1,NA,15,NA,NA,NA,NA,NA,0.6,1,1,0,1,0.5,0,0,0.5,NA,0.0939131021159162,-0.14315127657235,0.141722697872452,0.557901770182642,0.576446800318785,0.266971741306114,0.309475059012672,0.576446800318785,0.266971741306114,0.223553199681215,-0.283481188779608,NA,0.38273225708008,NA,NA,-0.805465277982393,-1.21216296066101,1,NA
21,2,107,0,NA,2,NA,NA,NA,1,2,588.99951800413,2,1,NA,16,NA,NA,NA,NA,NA,0.8,1,1,0,1,0.5,0,0,0.5,NA,0.682271316583478,-0.14315127657235,0.562386752539377,0.716123833395656,0.712216819910295,0.266971741306114,0.445245078604181,0.712216819910295,0.266971741306114,0.287783180089705,-0.186498832834819,NA,0.587219407931116,NA,NA,-0.600928320973036,1.18364306945459,1,NA
21,2,108,0,NA,2,NA,NA,NA,0.6,1,619.279518999974,2,1,NA,17,NA,NA,NA,NA,NA,1,1,1,0,1,0.5,0,0,0.5,NA,1.43910034081191,-0.14315127657235,1.10350398043371,-0.699441782366727,0.886863300439009,0.266971741306114,0.619891559132895,0.886863300439009,0.266971741306114,-0.286863300439009,-0.106785129762514,NA,0.755295630314502,NA,NA,-0.789940055278605,-1.03031111972,1,NA
21,2,109,1,12,2,0.2,1,0,0.4,1,506.391222006641,2,1,0,18,0.2,1,6,1,1,0.6,1,1,0,1,0.5,-0.5,0.3,0.5,-0.5,0.65903726805099,-0.14315127657235,0.545774884426259,-0.748689459166602,0.706855311994066,0.266971741306114,0.439883570687952,0.706855311994066,0.266971741306114,-0.306855311994066,-0.18812426404281,-0.767818436827955,0.583792188687074,-0.771193610322618,0.579694172785145,NA,NA,0,0.738842946050584
21,2,110,1,10,2,0.2,1,0,NA,NA,NA,NA,NA,0,19,0.2,1,9,0.2,1,0.4,0,NA,0,NA,0.5,-0.5,0.3,0.5,-0.5,NA,NA,NA,0.00720802457537636,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA
21,2,111,0,NA,2,NA,NA,NA,1,1,417.395734009915,2,1,NA,20,NA,NA,NA,NA,NA,NA,0,1,0,1,0.5,0,0,0.5,NA,-0.155559791029001,-0.14315127657235,-0.0366453034221325,1.19238787637673,0.51887823280845,0.266971741306114,0.251906491502337,0.51887823280845,0.266971741306114,0.48112176719155,-0.333763690032697,NA,0.276711679226089,NA,NA,-0.600928320973036,1.18364306945459,1,NA
21,2,112,0,NA,2,NA,NA,NA,0.4,1,555.822502006777,2,1,NA,21,NA,NA,NA,NA,NA,1,1,1,0,1,0.5,0,0,0.5,NA,1.14044544739898,-0.14315127657235,0.889971857791562,-1.02234533531781,0.817945454588129,0.266971741306114,0.550973713282015,0.817945454588129,0.266971741306114,-0.417945454588129,-0.133080975267034,NA,0.699850879833296,NA,NA,-0.777388818000046,-0.883294510120166,1,NA
21,2,113,1,10,2,0.2,1,0,0.2,2,610.17383998842,2,1,0,22,0.2,1,12,0.4,1,0.4,1,1,0,1,0.5,-0.5,0.3,0.5,0.5,0.0127639967112719,-0.14315127657235,0.0837027520763296,-0.87398978089163,0.55772076682473,0.266971741306114,0.290749025518617,0.55772076682473,0.266971741306114,-0.35772076682473,-0.297326723533947,-0.767818436827955,0.353538967988035,-0.771193610322618,0.470491713294008,NA,NA,0,0.482819460738917
21,2,114,0,NA,2,NA,NA,NA,0.8,2,619.965694000712,2,1,NA,23,NA,NA,NA,NA,NA,0.2,1,1,0,1,0.5,0,0,0.5,NA,-0.931743486135551,-0.14315127657235,-0.591600723982304,1.14093497221166,0.339765452702894,0.266971741306114,0.0727937113967799,0.339765452702894,0.266971741306114,0.460234547297106,-0.553847987664716,NA,-0.187335729515389,NA,NA,-0.805465277982393,-1.21216296066101,1,NA
21,2,115,1,13,1,0.4,0,1,0,1,525.203542987583,2,0,0,1,0.2,1,11,0,1,0.8,1,1,0,1,-0.5,-0.5,0.1,-0.5,0.5,0.312710164239874,-0.14315127657235,0.298158109223966,-1.5371673566457,0.626936588139658,0.266971741306114,0.359964846833544,0.626936588139658,0.266971741306114,-0.626936588139658,-0.242993226644745,-0.777388818000046,0.468101064014777,-0.883294510120166,0.534395591355302,NA,NA,0,0.632641119174293
21,2,116,1,11,1,0.6,1,1,1,1,551.764932009974,1,1,0,2,0,2,14,0.8,0,0,0,2,0,0,-0.5,0.5,0.1,-0.5,0.5,-1.24719440962172,-0.311959337225776,-0.729198629532894,1.81292620705607,0.266971741306114,0.238587981568137,0.0283837597379768,0.238587981568137,0.266971741306114,0.733028258693886,-0.672735080150307,-0.789940055278605,-0.438008984237952,-1.03031111972,0.117204975128298,NA,NA,0,-0.345455858709515
21,2,117,1,11,1,0.8,1,1,0.6,1,528.719570997055,1,1,0,3,0,2,15,0.6,0,1,1,2,0,0,-0.5,0.5,0.3,-0.5,0.5,0.717007458209704,-0.311959337225776,0.675165415344171,-0.288968988325931,0.720232560173892,0.238587981568137,0.481644578605756,0.238587981568137,0.720232560173892,-0.120232560173892,-0.187688984396779,-0.805465277982393,0.584709975162492,-1.21216296066101,0.617776293585614,NA,NA,0,0.828125892065068
21,2,118,1,10,1,0.6,1,1,0.2,1,716.84177100542,1,1,0,4,0,2,17,1,0,0.6,1,2,0,0,-0.5,0.5,0.1,-0.5,0.5,0.37370404929228,-0.311959337225776,0.429710519967431,-1.07916570137744,0.641011586609801,0.238587981568137,0.402423605041664,0.238587981568137,0.641011586609801,-0.441011586609801,-0.233194854020136,-0.789940055278605,0.488760917876479,-1.03031111972,0.556745201258468,NA,NA,0,0.685039435562299
